pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
TOI-824 b,TOI-824,Transiting Exoplanet Survey Satellite (TESS),1.392978,0.021769999999999998,2.926,0.261,18.467,0.0581,0.0,412.0,1253.0
TOI-837 b,TOI-837,Transiting Exoplanet Survey Satellite (TESS),8.3248762,0.01598,8.631,0.77,381.396,1.2,0.0,218.74,981.0
TOI-849 b,TOI-849,Transiting Exoplanet Survey Satellite (TESS),0.76552414,0.01598,3.444,0.307,39.09,0.12299000000000002,0.0,2314.06,1932.0
TOI-892 b,TOI-892,Transiting Exoplanet Survey Satellite (TESS),10.62656,0.092,11.994000000000002,1.07,301.9385,0.95,0.125,571.01,1397.0
TOI-905 b,TOI-905,Transiting Exoplanet Survey Satellite (TESS),3.739494,0.04666,13.126,1.171,211.99261,0.667,0.024,337.0,1192.0
TOI-942 b,TOI-942,Transiting Exoplanet Survey Satellite (TESS),4.32419,0.04796,4.81,0.429,826.358,2.6,0.0,261.86,1120.0
TOI-942 c,TOI-942,Transiting Exoplanet Survey Satellite (TESS),10.15643,0.0847,5.79,0.517,794.575,2.5,0.0,1393.0,1526.0
TOI-954 b,TOI-954,Transiting Exoplanet Survey Satellite (TESS),3.6849729,0.04963,9.55,0.852,55.30242,0.174,0.14,1393.0,1526.0
TRAPPIST-1 b,TRAPPIST-1,La Silla Observatory,1.51087081,0.01111,1.0859999999999999,0.09699999999999999,0.85,0.00267,0.081,4.25,400.0
TRAPPIST-1 c,TRAPPIST-1,La Silla Observatory,2.4218233,0.01521,1.056,0.094,1.38,0.00434,0.083,2.27,342.0
TRAPPIST-1 d,TRAPPIST-1,La Silla Observatory,4.04961,0.02144,0.772,0.069,0.41,0.0012900000000000001,0.07,1.14,288.0
TRAPPIST-1 e,TRAPPIST-1,Multiple Observatories,6.099615,0.02817,0.9179999999999999,0.08199999999999999,0.62,0.00195,0.085,0.66,251.0
TRAPPIST-1 f,TRAPPIST-1,Multiple Observatories,9.20669,0.0371,1.045,0.09300000000000001,0.68,0.00214,0.063,0.38,219.0
TRAPPIST-1 g,TRAPPIST-1,Multiple Observatories,12.35294,0.0451,1.127,0.10099999999999999,1.34,0.004220000000000001,0.061,0.26,199.0
TRAPPIST-1 h,TRAPPIST-1,Multiple Observatories,18.767,0.061935000000000004,0.752,0.067,0.331,0.0010400000000000001,0.0056700000000000006,0.17,173.0
TYC 0434-04538-1 b,TYC 0434-04538-1,Multiple Observatories,193.2,0.66,12.7,1.14,1938.763,6.1,0.08,1.15,1350.0
TYC 1422-614-1 b,TYC 1422-614-1,Multiple Observatories,198.4,0.69,13.3,1.18,794.5,2.5,0.06,1.15,1350.0
TYC 1422-614-1 c,TYC 1422-614-1,Multiple Observatories,559.3,1.37,12.5,1.11,3178.0,10.0,0.048,1.15,1350.0
TYC 3318-01333-1 b,TYC 3318-01333-1,Multiple Observatories,562.0,1.414,13.1,1.17,1086.9786,3.42,0.098,1.15,1350.0
TYC 3667-1280-1 b,TYC 3667-1280-1,McDonald Observatory,26.468,0.21,12.8,1.14,1716.282,5.4,0.036,1.15,1350.0
TYC 4282-00605-1 b,TYC 4282-00605-1,Roque de los Muchachos Observatory,101.54,0.422,12.4,1.11,3426.2074,10.78,0.28,1.15,1240.0
TYC 8998-760-1 b,TYC 8998-760-1,Paranal Observatory,4.91,162.0,12.3,1.1,4449.62,14.0,0.0,1.15,1240.0
TYC 8998-760-1 c,TYC 8998-760-1,Paranal Observatory,4.91,320.0,12.33,1.1,1906.98,6.0,0.0,1.15,1240.0
Teegarden's Star b,Teegarden's Star,Calar Alto Observatory,4.91,0.0252,1.02,0.091,1.05,0.0033,0.0,1.15,1140.0
Teegarden's Star c,Teegarden's Star,Calar Alto Observatory,11.409,0.0443,1.04,0.09300000000000001,1.11,0.00349,0.0,0.37,1140.0
TrES-1 b,TrES-1,TrES,3.03007,0.03925,12.665999999999999,1.13,266.9772,0.84,0.0,903.86,1140.0
TrES-2 b,TrES-2,TrES,2.47063,0.03563,15.244000000000002,1.36,473.5667,1.49,0.0,903.86,1466.0
TrES-3 b,TrES-3,TrES,1.30618581,0.02282,14.975,1.3359999999999999,607.03,1.91,0.0,35.0,1638.0
TrES-4 b,TrES-4,TrES,3.55395,0.050839999999999996,18.046,1.61,247.9074,0.78,0.0,35.0,1778.0
TrES-5 b,TrES-5,TrES,1.48224686,0.02459,13.384,1.194,568.9157,1.79,0.03,35.0,1480.0
UKIRT-2017-BLG-001L b,UKIRT-2017-BLG-001L,Mauna Kea Observatory,5840.0,4.18,13.7,1.22,407.0,1.28,0.04,35.0,2240.0
USco CTIO 108 b,USco CTIO 108,Teide Observatory,5840.0,670.0,12.3,1.1,4449.62,14.0,0.04,35.0,2240.0
USco1556 b,USco1556 A,Multiple Observatories,5840.0,3500.0,12.3,1.09,4767.45,15.0,0.04,35.0,2240.0
USco1621 b,USco1621 A,Multiple Observatories,5840.0,2880.0,12.2,1.09,5085.28,16.0,0.04,35.0,2270.0
UZ For b,UZ For,Multiple Observatories,5840.0,5.9,13.1,1.17,2002.2,6.3,0.04,35.0,677.0
UZ For c,UZ For,Multiple Observatories,1916.25,2.8,13.1,1.17,2447.2,7.7,0.05,35.0,677.0
V0391 Peg b,V0391 Peg,Multiple Observatories,1170.0,1.7,13.1,1.17,1017.056,3.2,0.0,35.0,677.0
